Unnamed: 0,Season,EpisodeNo,Title,AirDate,Director,SEID,Writer_0,Writer_1,Writer_2,Writer_3,Writer_4,Writer_5,Writer_6,Writer_7,Writer_8,Writer_9
0,1,1,"Good News, Bad News",1989-07-05,Art Wolff,S01E01,Larry David,Jerry Seinfeld,,,,,,,,
1,1,1,The Stakeout,1990-05-31,Tom Cherones,S01E01,Larry David,Jerry Seinfeld,,,,,,,,
2,1,2,The Robbery,1990-06-07,Tom Cherones,S01E02,Matt Goldman,,,,,,,,,
3,1,3,Male Unbonding,1990-06-14,Tom Cherones,S01E03,Larry David,Jerry Seinfeld,,,,,,,,
4,1,4,The Stock Tip,1990-06-21,Tom Cherones,S01E04,Larry David,Jerry Seinfeld,,,,,,,,
5,2,1,The Ex-Girlfriend,1991-01-16,Tom Cherones,S02E01,Larry David,Jerry Seinfeld,,,,,,,,
6,2,2,The Pony Remark,1991-01-30,Tom Cherones,S02E02,Larry David,Jerry Seinfeld,,,,,,,,
7,2,3,The Jacket,1991-02-06,Tom Cherones,S02E03,Larry David,Jerry Seinfeld,,,,,,,,
8,2,4,The Phone Message,1991-02-13,Tom Cherones,S02E04,Larry David,Jerry Seinfeld,,,,,,,,
9,2,5,The Apartment,1991-04-04,Tom Cherones,S02E05,Peter Mehlman,,,,,,,,,
10,2,6,The Statue,1991-04-11,Tom Cherones,S02E06,Larry David,,,,,,,,,
11,2,7,The Revenge,1991-04-18,Tom Cherones,S02E07,Larry David,,,,,,,,,
12,2,8,The Heart Attack,1991-04-25,Tom Cherones,S02E08,Larry Charles,,,,,,,,,
13,2,9,The Deal,1991-05-02,Tom Cherones,S02E09,Larry Charles,,,,,,,,,
14,2,10,The Baby Shower,1991-05-16,Tom Cherones,S02E10,Larry Charles,,,,,,,,,
15,2,11,The Chinese Restaurant,1991-05-23,Tom Cherones,S02E11,Larry David,Jerry Seinfeld,,,,,,,,
16,2,12,The Busboy,1991-06-26,Tom Cherones,S02E12,Larry David,Jerry Seinfeld,,,,,,,,
17,3,1,The Note,1991-09-18,Tom Cherones,S03E01,Larry David,,,,,,,,,
18,3,2,The Truth,1991-09-25,David Steinberg,S03E02,Elaine Pope,,,,,,,,,
19,3,3,The Pen,1991-10-02,Tom Cherones,S03E03,Larry David,,,,,,,,,
20,3,4,The Dog,1991-10-09,Tom Cherones,S03E04,Larry David,,,,,,,,,
21,3,5,The Library,1991-10-16,Joshua White,S03E05,Larry Charles,,,,,,,,,
22,3,6,The Parking Garage,1991-10-30,Tom Cherones,S03E06,Larry David,,,,,,,,,
23,3,7,The Cafe,1991-11-06,Tom Cherones,S03E07,Tom Leopold,,,,,,,,,
24,3,8,The Tape,1991-11-13,David&nbsp; Steinberg,S03E08,Larry David ,Bob Shaw,Don McEnery,,,,,,,
25,3,9,The Nose Job,1991-11-20,Tom Cherones,S03E09,Peter Mehlman,,,,,,,,,
26,3,10,The Stranded,1991-11-27,Tom Cherones,S03E10,Larry David,Jerry Seinfeld ,Matt Goldman,,,,,,,
27,3,11,The Alternate Side,1991-12-04,Tom Cherones,S03E11,Larry David ,Bill Masters,,,,,,,,
28,3,12,The Red Dot,1991-12-11,Tom Cherones,S03E12,Larry David,,,,,,,,,
29,3,13,The Subway,1992-01-08,Tom Cherones,S03E13,Larry David,,,,,,,,,
30,3,14,The Pez Dispenser,1992-01-15,Tom Cherones,S03E14,Larry David,,,,,,,,,
31,3,15,The Suicide,1992-01-29,Tom Cherones,S03E15,Tom Leopold,,,,,,,,,
32,3,16,The Fix-Up,1992-02-05,Tom Cherones,S03E16,Elaine Pope,Larry Charles,,,,,,,,
33,3,17,The Boyfriend (1),1992-02-12,Tom Cherones,S03E17,Larry David ,Larry Levin,,,,,,,,
34,3,18,The Boyfriend (2),1992-02-12,Tom Cherones,S03E18,Larry David ,Larry Levin,,,,,,,,
35,3,19,The Limo,1992-02-26,Tom Cherones,S03E19,Larry Charles / Story By Marc Jaffe,,,,,,,,,
36,3,20,The Good Samaritan,1992-03-04,Jason Alexander,S03E20,Peter Mehlman,,,,,,,,,
37,3,21,The Letter,1992-03-25,Tom Cherones,S03E21,Larry David,,,,,,,,,
38,3,22,The Parking Space,1992-04-22,Tom Cherones,S03E22,Larry David ,Greg Daniels,,,,,,,,
39,3,23,The Keys,1992-05-06,Tom Cherones,S03E23,Larry Charles,,,,,,,,,
40,4,1,The Trip (1),1992-08-12,Tom Cherones,S04E01,Larry Charles,,,,,,,,,
41,4,2,The Trip (2),1992-08-19,Tom Cherones,S04E02,Larry Charles,,,,,,,,,
42,4,3,The Pitch,1992-09-16,Tom Cherones,S04E03,Larry Charles,,,,,,,,,
43,4,4,The Ticket,1992-09-16,Tom Cherones,S04E04,Larry David,,,,,,,,,
44,4,5,The Wallet (1),1992-09-23,Tom Cherones,S04E05,Larry David,,,,,,,,,
45,4,6,The Watch (2),1992-09-30,Tom Cherones,S04E06,Larry David,,,,,,,,,
46,4,7,The Bubble Boy,1992-10-07,Tom Cherones,S04E07,Larry David,Larry Charles,,,,,,,,
47,4,8,The Cheever Letters,1992-10-28,Tom Cherones,S04E08,Larry David,Larry Charles,,,,,,,,
48,4,9,The Opera,1992-11-04,Tom Cherones,S04E09,Larry Charles,,,,,,,,,
49,4,10,The Virgin,1992-11-11,Tom Cherones,S04E10,Peter Mehlman,,,,,,,,,
50,4,11,The Contest,1992-11-18,Tom Cherones,S04E11,Larry David,,,,,,,,,
51,4,12,The Airport,1992-11-25,Tom Cherones,S04E12,Larry Charles,,,,,,,,,
52,4,13,The Pick,1992-12-16,Tom Cherones,S04E13,Larry Charles,,,,,,,,,
53,4,14,The Movie,1993-01-06,Tom Cherones,S04E14,Steve Skrovan,Bill Masters,Jon Hayman,,,,,,,
54,4,15,The Visa,1993-01-27,Tom Cherones,S04E15,Peter Mehlman,,,,,,,,,
55,4,16,The Shoes,1993-02-04,Tom Cherones,S04E16,Larry David,Jerry Seinfeld,,,,,,,,
56,4,17,The Outing,1993-02-11,Tom Cherones,S04E17,Larry Charles,,,,,,,,,
57,4,18,The Old Man,1993-02-18,Tom Cherones,S04E18,Bruce Kirschbaum,,,,,,,,,
58,4,19,The Implant,1993-02-25,Tom Cherones,S04E19,Peter Mehlman,,,,,,,,,
59,4,20,The Junior Mint,1993-03-18,Tom Cherones,S04E20,Andy Robin,,,,,,,,,
60,4,21,The Smelly Car,1993-04-15,Tom Cherones,S04E21,Larry David,Peter Mehlman,,,,,,,,
61,4,22,The Handicap Spot,1993-05-13,Tom Cherones,S04E22,Larry David,,,,,,,,,
62,4,23,The Pilot (1),1993-05-20,Tom Cherones,S04E23,Larry David,,,,,,,,,
63,4,24,The Pilot (2),1993-05-20,Tom Cherones,S04E24,Larry David,,,,,,,,,
64,5,1,The Mango,1993-09-16,Tom Cherones,S05E01,Lawrence H. Levy,Buck Dancer (Larry David pseudonym),,,,,,,,
65,5,2,The Puffy Shirt,1993-09-23,Tom Cherones,S05E02,Larry David,,,,,,,,,
66,5,3,The Glasses,1993-09-30,Tom Cherones,S05E03,Tom Gammill,Max Pross,,,,,,,,
67,5,4,The Sniffing Accountant,1993-10-07,Tom Cherones,S05E04,Larry David,Jerry Seinfeld,,,,,,,,
68,5,5,The Bris,1993-10-14,Tom Cherones,S05E05,Larry Charles,,,,,,,,,
69,5,6,The Lip Reader,1993-10-28,Tom Cherones,S05E06,Carol Leifer,,,,,,,,,
70,5,7,The Non-Fat Yogurt,1993-11-04,Tom Cherones,S05E07,Larry David,,,,,,,,,
71,5,8,The Barber,1993-11-11,Tom Cherones,S05E08,Andy Robin,,,,,,,,,
72,5,9,The Masseuse,1993-11-18,Tom Cherones,S05E09,Peter Mehlman,,,,,,,,,
73,5,10,The Cigar Store Indian,1993-12-09,Tom Cherones,S05E10,Tom Gammill,Max Pross,,,,,,,,
74,5,11,The Conversion,1993-12-16,Tom Cherones,S05E11,Bruce Kirschbaum,,,,,,,,,
75,5,12,The Stall,1994-01-06,Tom Cherones,S05E12,Larry Charles,,,,,,,,,
76,5,13,The Dinner Party,1994-02-03,Tom Cherones,S05E13,Larry David,,,,,,,,,
77,5,14,The Marine Biologist,1994-02-10,Tom Cherones,S05E14,Ron Hague,Charlie Rubin,,,,,,,,
78,5,15,The Pie,1994-02-17,Tom Cherones,S05E15,Tom Gammill,Max Pross,,,,,,,,
79,5,16,The Stand-In,1994-02-24,Tom Cherones,S05E16,Larry David,,,,,,,,,
80,5,17,The Wife,1994-03-17,Tom Cherones,S05E17,Peter Mehlman,,,,,,,,,
81,5,18,The Raincoats,1994-04-28,Tom Cherones,S05E18,Tom Gammill,Max Pross ,Larry David,Jerry Seinfeld,,,,,,
82,5,20,The Fire,1994-05-05,Tom Cherones,S05E20,Larry Charles,,,,,,,,,
83,5,21,The Hamptons,1994-05-12,Tom Cherones,S05E21,Peter Mehlman,Carol Leifer,,,,,,,,
84,5,22,The Opposite,1994-05-19,Tom Cherones,S05E22,Andy Cowan ,Larry David,Jerry Seinfeld,,,,,,,
85,6,1,The Chaperone,1994-09-22,Andy Ackerman,S06E01,Larry David,Bill Masters,Bob Shaw,,,,,,,
86,6,2,The Big Salad,1994-09-29,Andy Ackerman,S06E02,Larry David,,,,,,,,,
87,6,3,The Pledge Drive,1994-10-06,Andy Ackerman,S06E03,Tom Gammill,Max Pross,,,,,,,,
88,6,4,The Chinese Woman,1994-10-13,Andy Ackerman,S06E04,Peter Mehlman,,,,,,,,,
89,6,5,The Couch,1994-10-27,Andy Ackerman,S06E05,Larry David,,,,,,,,,
90,6,6,The Gymnast,1994-11-03,Andy Ackerman,S06E06,Alec Berg,Jeff Schaffer,,,,,,,,
91,6,7,The Soup,1994-11-10,Andy Ackerman,S06E07,Fred Stoller,,,,,,,,,
92,6,8,The Mom &amp; Pop Store,1994-11-17,Andy Ackerman,S06E08,Tom Gammill,Max Pross,,,,,,,,
93,6,9,The Secretary,1994-12-08,David Owen Trainor,S06E09,Carol Leifer,Marjorie Gross,,,,,,,,
94,6,10,The Race,1994-12-15,Andy Ackerman,S06E10,Tom Gammill,Max Pross ,Larry David,,,,,,,
95,6,11,The Switch,1995-01-05,Andy Ackerman,S06E11,Bruce Kirschbaum ,Sam Kass,,,,,,,,
96,6,12,The Label Maker,1995-01-19,Andy Ackerman,S06E12,Alec Berg,Jeff Schaffer,,,,,,,,
97,6,13,The Scofflaw,1995-01-26,Andy Ackerman,S06E13,Peter Mehlman,,,,,,,,,
98,6,16,The Beard,1995-02-09,Andy Ackerman,S06E16,Carol Leifer,,,,,,,,,
99,6,17,The Kiss Hello,1995-02-16,Andy Ackerman,S06E17,Larry David,Jerry Seinfeld,,,,,,,,
100,6,18,The Doorman,1995-02-23,Andy Ackerman,S06E18,Tom Gammill,Max Pross,,,,,,,,
101,6,19,The Jimmy,1995-03-16,Andy Ackerman,S06E19,Gregg Kavet,Andy Robin,,,,,,,,
102,6,20,The Doodle,1995-04-06,Andy Ackerman,S06E20,Alec Berg,Jeff Schaffer,,,,,,,,
103,6,21,The Fusilli Jerry,1995-04-27,Andy Ackerman,S06E21,Marjorie Gross,,,,,,,,,
104,6,22,The Diplomat's Club,1995-05-04,Andy Ackerman,S06E22,Tom Gammill,Max Pross,,,,,,,,
105,6,23,The Face Painter,1995-05-11,Andy Ackerman,S06E23,Larry David,,,,,,,,,
106,6,24,The Understudy,1995-05-18,Andy Ackerman,S06E24,Marjorie Gross,Carol Leifer,,,,,,,,
107,7,1,The Engagement,1995-09-21,Andy Ackerman,S07E01,Larry David,,,,,,,,,
108,7,2,The Postponement,1995-09-28,Andy Ackerman,S07E02,Larry David,,,,,,,,,
109,7,3,The Maestro,1995-10-05,Andy Ackerman,S07E03,Larry David,,,,,,,,,
110,7,4,The Wink,1995-10-12,Andy Ackerman,S07E04,Tom Gammill,Max Pross,,,,,,,,
111,7,5,The Hot Tub,1995-10-19,Andy Ackerman,S07E05,Gregg Kavet,Andy Robin,,,,,,,,
112,7,6,The Soup Nazi,1995-11-02,Andy Ackerman,S07E06,Spike Feresten,,,,,,,,,
113,7,7,The Secret Code,1995-11-09,Andy Ackerman,S07E07,Alec Berg,Jeff Schaffer,,,,,,,,
114,7,8,The Pool Guy,1995-11-16,Andy Ackerman,S07E08,David Mandel,,,,,,,,,
115,7,9,The Sponge,1995-12-07,Andy Ackerman,S07E09,Peter Mehlman,,,,,,,,,
116,7,10,The Gum,1995-12-14,Andy Ackerman,S07E10,Tom Gammill,Max Pross,,,,,,,,
117,7,11,The Rye,1996-01-04,Andy Ackerman,S07E11,Carol Leifer,,,,,,,,,
118,7,12,The Caddy,1996-01-25,Andy Ackerman,S07E12,Gregg Kavet,Andy Robin,,,,,,,,
119,7,13,The Seven,1996-02-01,Andy Ackerman,S07E13,Alec Berg,Jeff Schaffer,,,,,,,,
120,7,14,The Cadillac (1),1996-02-08,Andy Ackerman,S07E14,Larry David,Jerry Seinfeld,,,,,,,,
121,7,15,The Cadillac (2),1996-02-08,Andy Ackerman,S07E15,Larry David,Jerry Seinfeld,,,,,,,,
122,7,16,The Shower Head,1996-02-15,Andy Ackerman,S07E16,Peter Mehlman,Marjorie Gross,,,,,,,,
123,7,17,The Doll,1996-02-22,Andy Ackerman,S07E17,Tom Gammill,Max Pross,,,,,,,,
124,7,18,The Friars Club (a.k.a. The Gypsies),1996-03-07,Andy Ackerman,S07E18,David Mandel,,,,,,,,,
125,7,19,The Wig Master,1996-04-04,Andy Ackerman,S07E19,Spike Feresten,,,,,,,,,
126,7,20,The Calzone,1996-04-25,Andy Ackerman,S07E20,Alec Berg,Jeff Schaffer,,,,,,,,
127,7,21,The Bottle Deposit (1),1996-05-02,Andy Ackerman,S07E21,Gregg Kavet,Andy Robin,,,,,,,,
128,7,22,The Bottle Deposit (2),1996-05-02,Andy Ackerman,S07E22,Gregg Kavet,Andy Robin,,,,,,,,
129,7,23,The Wait Out,1996-05-09,Andy Ackerman,S07E23,Peter Mehlman,,,,,,,,,
130,7,24,The Invitations,1996-05-16,Andy Ackerman,S07E24,Larry David,,,,,,,,,
131,8,1,The Foundation,1996-09-19,Andy Ackerman,S08E01,Alec Berg,Jeff Schaffer,,,,,,,,
132,8,2,The Soul Mate,1996-09-26,Andy Ackerman,S08E02,Peter Mehlman,,,,,,,,,
133,8,3,The Bizarro Jerry,1996-10-03,Andy Ackerman,S08E03,David Mandel,,,,,,,,,
134,8,4,The Little Kicks,1996-10-10,Andy Ackerman,S08E04,Spike Feresten,,,,,,,,,
135,8,5,The Package,1996-10-17,Andy Ackerman,S08E05,Jennifer Crittenden,,,,,,,,,
136,8,6,The Fatigues,1996-10-31,Andy Ackerman,S08E06,Gregg Kavet,Andy Robin,,,,,,,,
137,8,7,The Checks,1996-11-07,Andy Ackerman,S08E07,Steve O'Donnell ,Tom Gammill,Max Pross,,,,,,,
138,8,8,The Chicken Roaster,1996-11-14,Andy Ackerman,S08E08,Alec Berg,Jeff Schaffer,,,,,,,,
139,8,9,The Abstinence,1996-11-21,Andy Ackerman,S08E09,Steve Koren,,,,,,,,,
140,8,10,The Andrea Doria,1996-12-19,Andy Ackerman,S08E10,Spike Feresten,,,,,,,,,
141,8,11,The Little Jerry,1997-01-09,Andy Ackerman,S08E11,Jennifer Crittenden,,,,,,,,,
142,8,12,The Money,1997-01-16,Andy Ackerman,S08E12,Peter Mehlman,,,,,,,,,
143,8,13,The Comeback,1997-01-30,David Owen Trainor,S08E13,Gregg Kavet,Andy Robin,,,,,,,,
144,8,14,The Van Buren Boys,1997-02-06,Andy Ackerman,S08E14,Darin Henry,,,,,,,,,
145,8,15,The Susie,1997-02-13,Andy Ackerman,S08E15,David Mandel,,,,,,,,,
146,8,16,The Pothole,1997-02-20,Andy Ackerman,S08E16,Steve O'Donnell ,Dan O'Keefe,,,,,,,,
147,8,17,The English Patient,1997-03-13,Andy Ackerman,S08E17,Steve Koren,,,,,,,,,
148,8,18,The Nap,1997-04-10,Andy Ackerman,S08E18,Gregg Kavet,Andy Robin,,,,,,,,
149,8,19,The Yada Yada,1997-04-24,Andy Ackerman,S08E19,Peter Mehlman ,Jill Franklyn,,,,,,,,
150,8,20,The Millennium,1997-05-01,Andy Ackerman,S08E20,Jennifer Crittenden,,,,,,,,,
151,8,21,The Muffin Tops,1997-05-08,Andy Ackerman,S08E21,Spike Feresten,,,,,,,,,
152,8,22,The Summer of George,1997-05-15,Andy Ackerman,S08E22,Alec Berg,Jeff Schaffer,,,,,,,,
153,9,1,The Butter Shave,1997-09-25,Andy Ackerman,S09E01,Alec Berg,Jeff Schaffer,David Mandel,,,,,,,
154,9,2,The Voice,1997-10-02,Andy Ackerman,S09E02,Alec Berg,Jeff Schaffer,David Mandel,,,,,,,
155,9,3,The Serenity Now,1997-10-09,Andy Ackerman,S09E03,Steve Koren,,,,,,,,,
156,9,4,The Blood,1997-10-16,Andy Ackerman,S09E04,Dan O'Keefe,,,,,,,,,
157,9,5,The Junk Mail,1997-10-30,Andy Ackerman,S09E05,Spike Feresten,,,,,,,,,
158,9,6,The Merv Griffin Show,1997-11-06,Andy Ackerman,S09E06,Bruce Eric Kaplan,,,,,,,,,
159,9,7,The Slicer,1997-11-13,Andy Ackerman,S09E07,Gregg Kavet,Andy Robin,,,,,,,,
160,9,8,The Betrayal,1997-11-20,Andy Ackerman,S09E08,David Mandel,Peter Mehlman,,,,,,,,
161,9,9,The Apology,1997-12-11,Andy Ackerman,S09E09,Jennifer Crittenden,,,,,,,,,
162,9,10,The Strike,1997-12-18,Andy Ackerman,S09E10,Dan O'Keefe,Alec Berg,Jeff Schaffer,,,,,,,
163,9,11,The Dealership,1998-01-08,Andy Ackerman,S09E11,Steve Koren,,,,,,,,,
164,9,12,The Reverse Peephole (a.k.a. The Man Fur),1998-01-15,Andy Ackerman,S09E12,Spike Feresten,,,,,,,,,
165,9,13,The Cartoon,1998-01-29,Andy Ackerman,S09E13,Bruce Eric Kaplan,,,,,,,,,
166,9,14,The Strongbox,1998-02-05,Andy Ackerman,S09E14,Dan O'Keefe,,,,,,,,,
167,9,15,The Wizard,1998-02-26,Andy Ackerman,S09E15,Steve Lookner,,,,,,,,,
168,9,16,The Burning,1998-03-19,Andy Ackerman,S09E16,Jennifer Crittenden,,,,,,,,,
169,9,17,The Bookstore,1998-04-09,Andy Ackerman,S09E17,Spike Feresten,,,,,,,,,
170,9,18,The Frogger,1998-04-23,Andy Ackerman,S09E18,Gregg Kavet,Andy Robin,,,,,,,,
171,9,19,The Maid,1998-04-30,Andy Ackerman,S09E19,Alec Berg,David Mandel,Jeff Schaffer,,,,,,,
172,9,20,The Puerto Rican Day,1998-05-07,Andy Ackerman,S09E20,Alec Berg,Jennifer Crittenden,Spike Feresten,Bruce Eric Kaplan,Gregg Kavet,Steve Koren,David Mandel,Dan O'Keefe,Andy Robin ,Jeff Schaffer.
173,9,23,The Finale,1998-05-14,Andy Ackerman,S09E23,Larry David,,,,,,,,,
